City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Hermanus,ZA,66.0,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
4,Mount Isa,AU,75.2,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
6,Chuy,UY,70.02,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
7,Kapaa,US,73.4,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
9,Vung Tau,VN,79.34,scattered clouds,10.345999999999998,107.0843,Green hotel
11,Butaritari,KI,80.92,light rain,3.0707,172.7902,Isles Sunset Lodge
18,Port Blair,IN,81.32,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
19,Rocha,UY,67.78,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
21,Atuona,PF,81.14,overcast clouds,-9.8,-139.0333,Villa Enata
23,Victoria,HK,75.99,clear sky,22.2855,114.1577,Mini Hotel Central
24,East London,ZA,60.8,few clouds,-33.0153,27.9116,Tu Casa
28,Cidreira,BR,79.61,few clouds,-30.1811,-50.2056,Hotel Castelo
29,Rikitea,PF,78.66,clear sky,-23.1203,-134.9692,Pension Maro'i
30,Castro,BR,73.31,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
31,Bambous Virieux,MU,78.8,scattered clouds,-20.3428,57.7575,Casa Tia Villa
32,Aripuana,BR,82.0,overcast clouds,-9.1667,-60.6333,
34,Tezu,IN,71.98,clear sky,27.9167,96.1667,Circuit House
35,Georgetown,MY,78.8,few clouds,5.4112,100.3354,Cititel Penang
37,Lucapa,AO,68.81,moderate rain,-8.4192,20.7447,Residência Ulisses Dos Santos
40,Riyadh,SA,68.0,clear sky,24.6877,46.7219,InterContinental Riyadh
46,Lekoni,GA,78.85,light rain,-1.5843,14.2591,Rendez-vous Des ChasseursD
49,Cape Town,ZA,69.01,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
50,Pacific Grove,US,70.0,clear sky,36.6177,-121.9166,Lovers Point Inn
52,San Juan,AR,79.02,clear sky,-31.5375,-68.5364,Hotel Provincial
53,Cabo San Lucas,MX,84.2,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
55,Miraflores,MX,80.6,few clouds,19.2167,-98.8083,Hotel Mansión
