City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,AU,-42.7826,147.0587,53.01,60,38,3.0,scattered clouds
1,Punta Arenas,CL,-53.15,-70.9167,53.6,43,0,18.41,clear sky
2,Hermanus,ZA,-34.4187,19.2345,66.0,75,100,3.0,overcast clouds
3,Mataura,NZ,-46.1927,168.8643,51.01,98,100,2.3,overcast clouds
4,Mount Isa,AU,-20.7333,139.5,75.2,31,0,13.8,clear sky
5,Ushuaia,AR,-54.8,-68.3,46.4,61,40,29.93,scattered clouds
6,Chuy,UY,-33.6971,-53.4616,70.02,82,90,6.58,overcast clouds
7,Kapaa,US,22.0752,-159.319,73.4,68,75,18.41,broken clouds
8,Rio Gallegos,AR,-51.6226,-69.2181,59.0,25,0,18.41,clear sky
9,Vung Tau,VN,10.346,107.0843,79.34,82,40,14.27,scattered clouds
10,Blatnica,BA,44.4864,17.8233,48.2,76,0,2.3,clear sky
11,Butaritari,KI,3.0707,172.7902,80.92,76,47,11.45,light rain
12,Kholtoson,RU,50.2981,103.3097,20.35,72,99,3.02,overcast clouds
13,Qaqortoq,GL,60.7167,-46.0333,26.6,59,0,9.22,clear sky
14,Jamestown,US,42.097,-79.2353,46.0,87,90,20.22,light rain
15,Esperance,AU,-33.8667,121.9,59.0,94,75,4.61,broken clouds
16,Flinders,AU,-34.5833,150.8552,57.99,86,14,1.01,few clouds
17,Sitka,US,57.0531,-135.33,35.6,75,20,19.57,few clouds
18,Port Blair,IN,11.6667,92.75,81.32,74,43,2.24,scattered clouds
19,Rocha,UY,-34.4833,-54.3333,67.78,86,86,6.73,overcast clouds
20,Sioux Lookout,CA,50.1001,-91.917,30.2,43,40,8.05,scattered clouds
21,Atuona,PF,-9.8,-139.0333,81.14,72,100,17.98,overcast clouds
22,Torbay,CA,47.6666,-52.7314,28.99,74,75,11.5,snow
23,Victoria,HK,22.2855,114.1577,75.99,89,9,5.79,clear sky
24,East London,ZA,-33.0153,27.9116,60.8,82,20,4.61,few clouds
25,Mezen,RU,65.8522,44.24,35.53,92,100,8.12,overcast clouds
