City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-03-24 22:38:29,-54.8,-68.3,42.8,75,40,39.12
1,Luba,GQ,2021-03-24 22:38:57,3.4568,8.5547,73.4,94,75,6.91
2,Busselton,AU,2021-03-24 22:38:57,-33.65,115.3333,54.61,85,0,5.82
3,Hithadhoo,MV,2021-03-24 22:38:20,-0.6,73.0833,82.49,73,100,12.73
4,Bintulu,MY,2021-03-24 22:38:58,3.1667,113.0333,75.2,94,20,3.98
5,Khatanga,RU,2021-03-24 22:38:58,71.9667,102.5,-5.82,95,100,3.18
6,Mbanza-Ngungu,CD,2021-03-24 22:34:05,-5.25,14.8667,68.4,98,100,7.54
7,Nome,US,2021-03-24 22:35:32,64.5011,-165.4064,26.01,80,90,16.11
8,Mataura,NZ,2021-03-24 22:38:58,-46.1927,168.8643,57.99,81,9,5.01
9,Nikolskoye,RU,2021-03-24 22:38:59,59.7035,30.7861,37.99,81,90,8.95
10,Cape Town,ZA,2021-03-24 22:38:19,-33.9258,18.4232,70.0,73,0,4.61
11,Marataizes,BR,2021-03-24 22:38:59,-21.0433,-40.8244,77.14,85,2,7.49
12,Jamestown,US,2021-03-24 22:38:59,42.097,-79.2353,66.2,52,90,12.82
13,Hobart,AU,2021-03-24 22:38:59,-42.8794,147.3294,63.0,94,75,2.3
14,Idritsa,RU,2021-03-24 22:39:00,56.3316,28.8988,35.62,86,81,6.31
15,Tyrma,RU,2021-03-24 22:39:00,50.0833,132.1667,17.82,75,47,1.81
16,Salinas,US,2021-03-24 22:39:00,36.6777,-121.6555,66.2,30,1,13.8
17,Daru,PG,2021-03-24 22:39:00,-9.0763,143.2092,80.89,83,100,2.26
18,Punta Arenas,CL,2021-03-24 22:38:17,-53.15,-70.9167,46.4,71,40,20.71
19,Haines Junction,CA,2021-03-24 22:39:01,60.7522,-137.5108,28.4,34,93,8.05
20,Rikitea,PF,2021-03-24 22:39:01,-23.1203,-134.9692,79.54,67,1,12.82
21,Batemans Bay,AU,2021-03-24 22:39:01,-35.7167,150.1833,66.99,80,32,1.99
22,High Level,CA,2021-03-24 22:39:02,58.5169,-117.136,17.6,53,1,8.05
23,Sisimiut,GL,2021-03-24 22:39:02,66.9395,-53.6735,0.45,92,100,12.1
24,Mar Del Plata,AR,2021-03-24 22:38:17,-38.0023,-57.5575,71.6,88,20,8.05
25,Kavaratti,IN,2021-03-24 22:39:02,10.5669,72.642,82.02,76,61,4.36
26,Ribeira Grande,PT,2021-03-24 22:39:02,38.5167,-28.7,53.6,71,20,8.05
27,Namatanai,PG,2021-03-24 22:39:03,-3.6667,152.4333,82.89,73,76,6.8
28,Zheleznodorozhnyy,RU,2021-03-24 22:39:03,55.7503,38.0042,26.6,80,0,2.24
29,Jalingo,NG,2021-03-24 22:39:03,8.8833,11.3667,81.72,58,80,5.14
30,Rio Grande,BR,2021-03-24 22:39:03,-32.035,-52.0986,73.0,82,81,11.41
31,Nikolayevka,RU,2021-03-24 22:39:04,53.1257,47.2041,30.45,87,100,9.75
32,Pangnirtung,CA,2021-03-24 22:39:04,66.1451,-65.7125,-25.6,68,40,3.44
33,Bluff,NZ,2021-03-24 22:37:42,-46.6,168.3333,57.99,81,10,5.01
34,Santa Isabel,BR,2021-03-24 22:39:04,-23.3156,-46.2214,77.0,78,40,5.75
35,Airai,TL,2021-03-24 22:39:04,-8.9266,125.4092,64.22,86,44,0.87
36,Mayo,US,2021-03-24 22:39:05,38.8876,-76.5119,57.99,100,90,3.44
